Titel,Abkürzung,Ausfertigungsdatum,Fundstelle,Pfad
Gesetz über die Ergänzung von Vorschriften des Umstellungsrechts,UErgG 2,1957-03-23,"BGBlI:1957,285",gesetze-master/u/uergg_2/index.md
Gesetz über den Beitritt der Bundesrepublik Deutschland zum Abkommen über die  Vorrechte und Befreiungen der Sonderorganisationen der Vereinten Nationen vom 21.  November 1947 und über die Gewährung von Vorrechten und Befreiungen an andere zwischenstaatliche  Organisationen,UNSOrgVorRAbkG,1954-06-22,"BGBlII:1954,639",gesetze-master/u/unsorgvorrabkg/index.md
Gesetz zur Regelung finanzieller Beziehungen zwischen dem Bund und den Ländern,ÜblG 4,1955-04-27,"BGBlI:1955,189",gesetze-master/u/ueblg_4/index.md
Verordnung über die Schiedsstelle für Urheberrechtsstreitfälle,UrhSchiedsV 1985,1985-12-20,"BGBlI:1985,2543",gesetze-master/u/urhschiedsv_1985/index.md
Umweltinformationsgesetz,UIG 2005,2004-12-22,"BGBlI:2004,3704",gesetze-master/u/uig_2005/index.md
Übereinkommen über die Vorrechte und Immunitäten der Vereinten Nationen,UNOImmÜbk,1946-02-13,"BGBlII:1980,943",gesetze-master/u/unoimmuebk/index.md
Landesverordnung über die Aufhebung von Urteilen der Strafgerichte und die  Beseitigung nationalsozialistischer Eingriffe in die Strafrechtspflege,UrtAufhV BA,1946-12-23,"BAGVBl:1946,151",gesetze-master/u/urtaufhv_ba/index.md
"Gesetz zu dem Protokoll vom 7. Dezember 2005 zur Änderung des Abkommens vom  20. Juni 1996 zwischen der Regierung der Bundesrepublik Deutschland, den Vereinten  Nationen und dem Sekretariat des Rahmenübereinkommens der Vereinten Nationen über  Klimaänderungen über den Sitz des Sekretariats des Übereinkommens",UNSekrSitzAbkÄndProtG,2009-04-01,"BGBlII:2009,294",gesetze-master/u/unsekrsitzabkaendprotg/index.md
Gesetz zu dem Abkommen vom 10. November 1995 zwischen der Bundesrepublik Deutschland  und den Vereinten Nationen über den Sitz des Freiwilligenprogramms der Vereinten  Nationen,UNFreiwProgrAbkG,1996-06-05,"BGBlII:1996,903",gesetze-master/u/unfreiwprograbkg/index.md
"Gesetz über die Bildung von Rückstellungen in der Umstellungsrechnung der Geldinstitute,  Versicherungsunternehmen und Bausparkassen und in der Altbankenrechnung der Berliner  Altbanken",UmstRückstG,1960-12-21,"BGBlI:1960,1053",gesetze-master/u/umstrueckstg/index.md
Verordnung über die Ersetzung zerstörter oder abhanden gekommener gerichtlicher  oder notarischer Urkunden,UrkErsV,1942-06-18,"RGBlI:1942,395",gesetze-master/u/urkersv/index.md
Gesetz über Unterlassungsklagen bei Verbraucherrechts- und anderen Verstößen,UKlaG,2001-11-26,"BGBlI:2001,3138,3173",gesetze-master/u/uklag/index.md
Verordnung über die Bestimmung der Beglaubigungsbehörde nach dem deutsch-belgischen  Abkommen vom 13. Mai 1975 über die Befreiung öffentlicher Urkunden von der Legalisation,UrkBefrBELV,1980-10-15,"BGBlI:1980,2002",gesetze-master/u/urkbefrbelv/index.md
Verordnung betreffend die Ausführung der am 9. September 1886 zu Bern abgeschlossenen  Übereinkunft wegen Bildung eines internationalen Verbandes zum Schutz von Werken  der Literatur und Kunst,ÜbkBernAV,1897-11-29,"RGBl:1897,787",gesetze-master/u/uebkbernav/index.md
Verordnung zur Ausführung der am 13. November 1908 zu Berlin abgeschlossenen  revidierten Berner Übereinkunft zum Schutz von Werken der Literatur und Kunst,ÜbkBern/BerlinAV,1910-07-12,"RGBl:1910,989",gesetze-master/u/uebkbern_berlinav/index.md
Gesetz zu dem Zusatzprotokoll vom 18. Dezember 1997 zum Übereinkommen über  die Überstellung verurteilter Personen,ÜvPÜbkZProtG,2002-12-10,"BGBlII:2002,2866",gesetze-master/u/uevpuebkzprotg/index.md
Verordnung über die Berechtigung zum Tragen der Uniform außerhalb eines Wehrdienstverhältnisses,UnifV 2008,2008-04-25,"BGBlI:2008,778",gesetze-master/u/unifv_2008/index.md
Gesetz über den Beitritt der Bundesrepublik Deutschland zur Konvention vom  5. April 1946 der Internationalen Überfischungskonferenz,ÜFischKKonvG,1954-04-28,"BGBlII:1954,469",gesetze-master/u/uefischkkonvg/index.md
Gesetz zu dem Abkommen vom 13. September 1971 zwischen der Bundesrepublik Deutschland  und der Französischen Republik über die Befreiung öffentlicher Urkunden von der  Legalisation,UrkBefrFRAG,1974-07-30,"BGBlII:1974,1074",gesetze-master/u/urkbefrfrag/index.md
Gesetz über den Schutz der Urheberrechte der Angehörigen der Vereinigten Staaten  von Amerika,UrhUSAG,1922-05-18,"RGBlII:1922,129",gesetze-master/u/urhusag/index.md
Gesetz über den Nachweis der Rechtmäßigkeit des Erwerbs von Umstellungsguthaben,UmstGErwNwG,1990-06-29,"GBlDDRI:1990,503",gesetze-master/u/umstgerwnwg/index.md
Verordnung zu dem Abkommen vom 1. Juli 2005 zwischen der Regierung der Bundesrepublik  Deutschland und dem Amt des Hohen Flüchtlingskommissars der Vereinten Nationen über  das Büro des Hohen Flüchtlingskommissars der Vereinten Nationen in Deutschland,UNHCRBüroAbkV,2007-02-22,"BGBlII:2007,218",gesetze-master/u/unhcrbueroabkv/index.md
Verordnung über die Ausstellung der Apostille nach Artikel 3 des Haager Übereinkommens  vom 5. Oktober 1961 zur Befreiung ausländischer öffentlicher Urkunden von der Legalisation,UrkBefrV 1997 Haag,1997-12-09,"BGBlI:1997,2872",gesetze-master/u/urkbefrv_1997_haag/index.md
Verordnung über die Prüfungen zu den anerkannten Abschlüssen Geprüfter Übersetzer/Geprüfte  Übersetzerin und Geprüfter Dolmetscher/Geprüfte Dolmetscherin,ÜDolmPrV,2004-05-18,"BGBlI:2004,1004",gesetze-master/u/uedolmprv/index.md
